Rank,Team,GM,W-L,3FG,3FGA,3FG%
115,Washington St. (Pac-12),31,13-18,209,574,36.4
116,Missouri St. (Missouri Valley),33,17-16,270,742,36.4
117,Miami (FL) (Atlantic Coast),31,21-10,200,550,36.4
118,Kansas St. (Big 12),31,19-12,223,614,36.3
119,St. John's (NY) (Big East),32,14-18,269,741,36.3
120,Illinois St. (Missouri Valley),33,27-6,271,747,36.3
121,Maryland (Big Ten),31,24-7,259,714,36.3
122,South Dakota St. (Summit League),34,18-16,313,863,36.3
123,Southeastern La. (Southland),32,16-16,215,593,36.3
124,Yale (Ivy League),27,17-10,199,549,36.2
125,Georgia St. (Sun Belt),30,19-11,229,632,36.2
126,Binghamton (America East),32,12-20,248,685,36.2
127,Delaware St. (Mid-Eastern),32,10-22,263,727,36.2
128,Florida St. (Atlantic Coast),31,24-7,219,606,36.1
129,UC Davis (Big West),31,19-12,202,559,36.1
130,Toledo (Mid-American),32,17-15,245,678,36.1
131,Harvard (Ivy League),27,18-9,220,609,36.1
132,La Salle (Atlantic 10),29,15-14,245,679,36.1
133,Pittsburgh (Atlantic Coast),33,16-17,263,729,36.1
134,West Virginia (Big 12),31,24-7,233,647,36
135,Murray St. (OVC),33,16-17,289,803,36
136,Lamar University (Southland),32,19-13,250,695,36
137,Columbia (Ivy League),27,11-16,211,587,35.9
138,Idaho St. (Big Sky),31,5-26,237,660,35.9
139,Baylor (Big 12),31,25-6,209,584,35.8
140,Central Mich. (Mid-American),32,16-16,399,1115,35.8
141,Clemson (Atlantic Coast),32,17-15,232,649,35.7
142,Temple (AAC),31,16-15,278,778,35.7
143,Liberty (Big South),32,19-13,290,812,35.7
144,San Francisco (West Coast),32,20-12,292,818,35.7
145,Mt. St. Mary's (Northeast),34,19-15,246,690,35.7
146,Ohio St. (Big Ten),32,17-15,211,592,35.6
147,Bradley (Missouri Valley),33,13-20,217,609,35.6
148,North Carolina St. (Atlantic Coast),32,15-17,226,635,35.6
149,CSUN (Big West),29,11-18,141,397,35.5
150,Montana (Big Sky),31,16-15,230,648,35.5
151,Elon (Colonial),32,18-14,308,868,35.5
152,Austin Peay (OVC),30,11-19,227,640,35.5
153,Southern Utah (Big Sky),32,6-26,283,798,35.5
