Rank,Team,GM,W-L,TO,TOPG
228,Wyoming (Mountain West),32,18-14,433,13.5
228,Grambling (Southwestern),32,16-16,433,13.5
230,Tennessee Tech (OVC),32,12-20,434,13.6
230,Auburn (Southeastern),32,18-14,434,13.6
232,Florida A&M (Mid-Eastern),30,7-23,407,13.6
233,Mississippi St. (Southeastern),31,16-15,421,13.6
234,UNCG (Southern),34,25-9,462,13.6
235,UAB (Conference USA),32,17-15,435,13.6
236,Tulane (AAC),30,6-24,408,13.6
236,Washington (Pac-12),30,9-21,408,13.6
238,BYU (West Coast),33,22-11,449,13.6
239,Fort Wayne (Summit League),31,19-12,422,13.6
240,Jacksonville St. (OVC),34,20-14,463,13.6
241,Oakland (Horizon),32,24-8,436,13.6
241,Delaware St. (Mid-Eastern),32,10-22,436,13.6
243,Seton Hall (Big East),30,20-10,409,13.6
244,North Texas (Conference USA),30,8-22,410,13.7
244,Coppin St. (Mid-Eastern),33,8-25,451,13.7
246,Chicago St. (Western Athletic),31,6-25,424,13.7
247,Georgia Tech (Atlantic Coast),32,17-15,438,13.7
248,Samford (Southern),34,19-15,466,13.7
249,Southern U. (Southwestern),32,15-17,440,13.8
249,Southern Utah (Big Sky),32,6-26,440,13.8
251,Hawaii (Big West),29,14-15,399,13.8
251,A&M-Corpus Chris (Southland),29,19-10,399,13.8
253,Iowa (Big Ten),31,18-13,427,13.8
254,Appalachian St. (Sun Belt),30,9-21,414,13.8
255,Oklahoma (Big 12),31,11-20,428,13.8
256,Sam Houston St. (Southland),32,20-12,442,13.8
257,Omaha (Summit League),32,18-14,444,13.9
258,McNeese (Southland),29,7-22,403,13.9
259,Georgia St. (Sun Belt),30,19-11,418,13.9
260,Eastern Ky. (OVC),31,12-19,432,13.9
261,Central Ark. (Southland),32,8-24,446,13.9
262,Green Bay (Horizon),31,18-13,433,14
263,UC Riverside (Big West),27,7-20,378,14
263,Siena (Metro Atlantic),34,17-17,476,14
265,East Carolina (AAC),31,14-17,435,14
266,Northern Colo. (Big Sky),29,11-18,407,14
267,Lehigh (Patriot),32,20-12,450,14.1
268,NJIT (ASUN),31,11-20,436,14.1
269,Wagner (Northeast),30,16-14,422,14.1
270,DePaul (Big East),32,9-23,451,14.1
271,Alabama (Southeastern),30,17-13,424,14.1
271,Alcorn (Southwestern),30,17-13,424,14.1
273,James Madison (Colonial),33,10-23,467,14.2
274,Texas A&M (Southeastern),30,16-14,425,14.2
275,Morgan St. (Mid-Eastern),29,14-15,411,14.2
276,Georgetown (Big East),32,14-18,454,14.2
276,Duquesne (Atlantic 10),32,10-22,454,14.2
278,UC Davis (Big West),31,19-12,441,14.2
279,Hampton (Mid-Eastern),29,14-15,413,14.2
279,Central Conn. St. (Northeast),29,6-23,413,14.2
281,Michigan St. (Big Ten),31,18-13,443,14.3
282,The Citadel (Southern),33,12-21,473,14.3
283,Boston U. (Patriot),32,18-14,459,14.3
284,Gardner-Webb (Big South),33,19-14,474,14.4
285,Brown (Ivy League),30,13-17,431,14.4
286,LIU Brooklyn (Northeast),32,20-12,460,14.4
286,Mississippi Val. (Southwestern),32,7-25,460,14.4
288,Long Beach St. (Big West),32,14-18,461,14.4
289,Hartford (America East),32,9-23,462,14.4
290,Cornell (Ivy League),29,8-21,419,14.4
291,Quinnipiac (Metro Atlantic),31,10-21,448,14.5
292,UMKC (Western Athletic),31,16-15,449,14.5
293,Navy (Patriot),32,16-16,464,14.5
294,Northern Ariz. (Big Sky),32,9-23,465,14.5
295,SIUE (OVC),30,6-24,436,14.5
295,Lafayette (Patriot),30,9-21,436,14.5
297,Ole Miss (Southeastern),31,19-12,451,14.5
297,LSU (Southeastern),31,10-21,451,14.5
297,Detroit Mercy (Horizon),31,8-23,451,14.5
297,Norfolk St. (Mid-Eastern),31,16-15,451,14.5
297,Nicholls St. (Southland),31,14-17,451,14.5
302,N.C. A&T (Mid-Eastern),32,3-29,466,14.6
303,Rider (Metro Atlantic),33,18-15,481,14.6
304,Seattle U (Western Athletic),29,13-16,423,14.6
305,Miami (OH) (Mid-American),32,11-21,467,14.6
305,Boston College (Atlantic Coast),32,9-23,467,14.6
307,Buffalo (Mid-American),31,17-14,453,14.6
308,Colgate (Patriot),32,10-22,470,14.7
308,Radford (Big South),32,14-18,470,14.7
310,ETSU (Southern),34,27-7,502,14.8
311,Ball St. (Mid-American),31,20-11,458,14.8
312,Massachusetts (Atlantic 10),32,15-17,473,14.8
313,Tulsa (AAC),30,14-16,444,14.8
314,Wright St. (Horizon),32,20-12,474,14.8
315,UCF (AAC),30,20-10,445,14.8
316,Dartmouth (Ivy League),27,7-20,401,14.9
317,Savannah St. (Mid-Eastern),29,13-16,431,14.9
318,Saint Francis (PA) (Northeast),32,16-16,476,14.9
319,Utah Valley (Western Athletic),29,14-15,432,14.9
320,CSU Bakersfield (Western Athletic),29,21-8,433,14.9
321,Howard (Mid-Eastern),33,10-23,494,15
322,Loyola Maryland (Patriot),31,15-16,465,15
323,Rice (Conference USA),32,22-10,481,15
324,Presbyterian (Big South),30,5-25,451,15
325,Robert Morris (Northeast),33,14-19,497,15.1
326,Tennessee St. (OVC),30,17-13,452,15.1
327,Army West Point (Patriot),32,13-19,483,15.1
328,Bradley (Missouri Valley),33,13-20,499,15.1
329,Northwestern St. (Southland),29,13-16,439,15.1
330,Lipscomb (ASUN),33,20-13,500,15.2
331,UT Martin (OVC),33,21-12,501,15.2
332,Longwood (Big South),30,6-24,456,15.2
333,Indiana (Big Ten),31,17-14,472,15.2
334,Oregon St. (Pac-12),32,5-27,491,15.3
335,Cal St. Fullerton (Big West),29,16-13,447,15.4
336,Alabama St. (Southwestern),31,8-23,488,15.7
337,UTRGV (Western Athletic),31,10-21,491,15.8
338,North Florida (ASUN),34,15-19,541,15.9
339,Southeastern La. (Southland),32,16-16,512,16
340,Ill.-Chicago (Horizon),33,15-18,531,16.1
341,Sacred Heart (Northeast),32,13-19,516,16.1
341,Western Caro. (Southern),32,9-23,516,16.1
343,South Fla. (AAC),29,7-22,468,16.1
344,Manhattan (Metro Atlantic),32,10-22,530,16.6
345,New Orleans (Southland),29,18-11,496,17.1
346,SFA (Southland),30,17-13,527,17.6
347,Ark.-Pine Bluff (Southwestern),32,7-25,578,18.1
