Rank,Team,GM,W-L,OPP PTS,OPP PPG
104,Southern Ill. (Missouri Valley),33,17-16,2289,69.4
105,Georgia St. (Sun Belt),30,19-11,2082,69.4
106,TCU (Big 12),32,18-14,2224,69.5
107,New Orleans (Southland),29,18-11,2020,69.7
108,James Madison (Colonial),33,10-23,2299,69.7
109,Illinois (Big Ten),31,18-13,2161,69.7
110,Ohio St. (Big Ten),32,17-15,2232,69.8
111,Saint Louis (Atlantic 10),32,12-20,2235,69.8
112,Yale (Ivy League),27,17-10,1886,69.9
113,La.-Monroe (Sun Belt),32,9-23,2236,69.9
114,Ohio (Mid-American),29,19-10,2032,70.1
115,George Washington (Atlantic 10),31,18-13,2173,70.1
116,UC Riverside (Big West),27,7-20,1895,70.2
117,Winthrop (Big South),32,26-6,2246,70.2
118,Fresno St. (Mountain West),30,19-11,2106,70.2
119,UAB (Conference USA),32,17-15,2247,70.2
119,Radford (Big South),32,14-18,2247,70.2
121,UC Davis (Big West),31,19-12,2177,70.2
122,Memphis (AAC),31,19-12,2178,70.3
123,Gardner-Webb (Big South),33,19-14,2319,70.3
124,Tulsa (AAC),30,14-16,2109,70.3
125,Campbell (Big South),34,17-17,2391,70.3
126,Syracuse (Atlantic Coast),32,18-14,2254,70.4
127,North Carolina (Atlantic Coast),32,26-6,2255,70.5
128,Seton Hall (Big East),30,20-10,2115,70.5
129,Georgia (Southeastern),31,18-13,2187,70.5
130,Akron (Mid-American),31,24-7,2188,70.6
131,Utah St. (Mountain West),29,13-16,2048,70.6
132,Northern Ill. (Mid-American),32,15-17,2261,70.7
132,Lehigh (Patriot),32,20-12,2261,70.7
134,Bradley (Missouri Valley),33,13-20,2333,70.7
135,Oakland (Horizon),32,24-8,2263,70.7
136,Boston U. (Patriot),32,18-14,2264,70.8
137,Boise St. (Mountain West),29,19-10,2052,70.8
138,Morgan St. (Mid-Eastern),29,14-15,2053,70.8
139,Loyola Marymount (West Coast),30,15-15,2125,70.8
140,Temple (AAC),31,16-15,2197,70.9
141,Binghamton (America East),32,12-20,2270,70.9
142,UC Santa Barbara (Big West),28,6-22,1987,71
143,Nevada (Mountain West),31,25-6,2200,71
144,Colgate (Patriot),32,10-22,2273,71
145,Stanford (Pac-12),31,14-17,2204,71.1
146,Richmond (Atlantic 10),30,19-11,2133,71.1
147,Mississippi St. (Southeastern),31,16-15,2206,71.2
148,Florida St. (Atlantic Coast),31,24-7,2207,71.2
149,Cal St. Fullerton (Big West),29,16-13,2066,71.2
150,Milwaukee (Horizon),35,11-24,2494,71.3
151,San Diego (West Coast),31,13-18,2210,71.3
152,Hampton (Mid-Eastern),29,14-15,2068,71.3
152,Davidson (Atlantic 10),29,15-14,2068,71.3
154,Colorado (Pac-12),32,19-13,2284,71.4
155,Northern Ky. (Horizon),34,24-10,2428,71.4
156,North Dakota St. (Summit League),30,19-11,2144,71.5
157,Clemson (Atlantic Coast),32,17-15,2287,71.5
158,Lamar University (Southland),32,19-13,2289,71.5
159,Sam Houston St. (Southland),32,20-12,2290,71.6
160,Seattle U (Western Athletic),29,13-16,2076,71.6
161,Elon (Colonial),32,18-14,2292,71.6
162,Cleveland St. (Horizon),31,9-22,2222,71.7
162,George Mason (Atlantic 10),31,19-12,2222,71.7
164,Xavier (Big East),32,20-12,2294,71.7
165,Eastern Ill. (OVC),29,14-15,2083,71.8
166,Massachusetts (Atlantic 10),32,15-17,2299,71.8
167,Pacific (West Coast),33,11-22,2371,71.8
168,Iowa St. (Big 12),30,20-10,2156,71.9
169,Idaho (Big Sky),29,17-12,2086,71.9
170,Northeastern (Colonial),31,15-16,2230,71.9
171,Western Ky. (Conference USA),32,15-17,2302,71.9
172,Kansas (Big 12),31,28-3,2231,72
173,Howard (Mid-Eastern),33,10-23,2375,72
174,Kentucky (Southeastern),31,26-5,2235,72.1
175,Delaware (Colonial),33,13-20,2381,72.2
176,Georgetown (Big East),32,14-18,2309,72.2
177,Norfolk St. (Mid-Eastern),31,16-15,2237,72.2
178,Portland (West Coast),33,11-22,2383,72.2
