Rank,Team,GM,W-L,PTS,PPG
103,Washington (Pac-12),30,9-21,2295,76.5
105,Ill.-Chicago (Horizon),33,15-18,2520,76.4
106,Northern Ky. (Horizon),34,24-10,2589,76.1
107,Boise St. (Mountain West),29,19-10,2207,76.1
108,Bucknell (Patriot),34,26-8,2587,76.1
109,Lehigh (Patriot),32,20-12,2432,76
109,Northwestern St. (Southland),29,13-16,2204,76
111,Western Mich. (Mid-American),31,16-15,2354,75.9
112,Brown (Ivy League),30,13-17,2275,75.8
113,Denver (Summit League),30,16-14,2273,75.8
114,Syracuse (Atlantic Coast),32,18-14,2424,75.8
115,Rider (Metro Atlantic),33,18-15,2498,75.7
116,Saint Francis (PA) (Northeast),32,16-16,2420,75.6
117,A&M-Corpus Chris (Southland),29,19-10,2193,75.6
117,La Salle (Atlantic 10),29,15-14,2193,75.6
119,Minnesota (Big Ten),31,23-8,2344,75.6
120,Long Beach St. (Big West),32,14-18,2419,75.6
121,Colorado (Pac-12),32,19-13,2416,75.5
122,Texas Southern (Southwestern),32,21-11,2414,75.4
123,N.C. Central (Mid-Eastern),31,23-8,2335,75.3
124,Valparaiso (Horizon),32,24-8,2408,75.3
125,Arizona (Pac-12),31,27-4,2332,75.2
126,Elon (Colonial),32,18-14,2403,75.1
126,Xavier (Big East),32,20-12,2403,75.1
128,Oral Roberts (Summit League),30,8-22,2252,75.1
129,Tennessee (Southeastern),31,16-15,2326,75
130,Kennesaw St. (ASUN),32,14-18,2401,75
131,UNCG (Southern),34,25-9,2551,75
132,Sam Houston St. (Southland),32,20-12,2400,75
133,Siena (Metro Atlantic),34,17-17,2549,75
134,Clemson (Atlantic Coast),32,17-15,2399,75
135,Drexel (Colonial),32,9-23,2397,74.9
136,Central Ark. (Southland),32,8-24,2395,74.8
137,LSU (Southeastern),31,10-21,2319,74.8
137,George Mason (Atlantic 10),31,19-12,2319,74.8
139,North Dakota St. (Summit League),30,19-11,2244,74.8
140,Eastern Ill. (OVC),29,14-15,2169,74.8
141,Yale (Ivy League),27,17-10,2019,74.8
142,VCU (Atlantic 10),31,24-7,2318,74.8
143,Nicholls St. (Southland),31,14-17,2316,74.7
144,Cincinnati (AAC),31,27-4,2315,74.7
145,Montana (Big Sky),31,16-15,2314,74.6
145,Chattanooga (Southern),31,19-12,2314,74.6
145,Michigan (Big Ten),31,20-11,2314,74.6
148,Memphis (AAC),31,19-12,2313,74.6
149,SMU (AAC),31,27-4,2312,74.6
150,Southeast Mo. St. (OVC),33,15-18,2460,74.5
151,Maryland (Big Ten),31,24-7,2309,74.5
152,Furman (Southern),32,21-11,2381,74.4
153,Fresno St. (Mountain West),30,19-11,2230,74.3
154,Charleston So. (Big South),31,12-19,2304,74.3
155,Georgia St. (Sun Belt),30,19-11,2229,74.3
156,Middle Tenn. (Conference USA),31,27-4,2300,74.2
157,Niagara (Metro Atlantic),33,10-23,2448,74.2
158,Bryant (Northeast),32,12-20,2373,74.2
159,Towson (Colonial),33,20-13,2447,74.2
160,Richmond (Atlantic 10),30,19-11,2223,74.1
160,New Mexico (Mountain West),30,17-13,2223,74.1
162,Vermont (America East),33,28-5,2445,74.1
163,Davidson (Atlantic 10),29,15-14,2147,74
164,Georgetown (Big East),32,14-18,2369,74
165,Houston (AAC),30,21-9,2218,73.9
166,TCU (Big 12),32,18-14,2364,73.9
167,Idaho (Big Sky),29,17-12,2139,73.8
168,Seton Hall (Big East),30,20-10,2211,73.7
169,Air Force (Mountain West),32,12-20,2356,73.6
170,Appalachian St. (Sun Belt),30,9-21,2208,73.6
171,Bowling Green (Mid-American),32,13-19,2355,73.6
172,San Jose St. (Mountain West),29,14-15,2131,73.5
173,Cal St. Fullerton (Big West),29,16-13,2130,73.4
174,Loyola Chicago (Missouri Valley),32,18-14,2348,73.4
175,Arkansas St. (Sun Belt),32,20-12,2346,73.3
175,Texas Tech (Big 12),32,18-14,2346,73.3
177,New Orleans (Southland),29,18-11,2122,73.2
