Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
85,Eastern Mich. (Mid-American),32,16-16,2504,78.3,2330,72.8,5.4
86,Boise St. (Mountain West),29,19-10,2207,76.1,2052,70.8,5.3
87,Lehigh (Patriot),32,20-12,2432,76,2261,70.7,5.3
88,Syracuse (Atlantic Coast),32,18-14,2424,75.8,2254,70.4,5.3
89,Virginia Tech (Atlantic Coast),31,22-9,2468,79.6,2307,74.4,5.2
90,Towson (Colonial),33,20-13,2447,74.2,2283,69.2,5
91,New Hampshire (America East),32,20-12,2277,71.2,2118,66.2,5
92,Kansas St. (Big 12),31,19-12,2247,72.5,2094,67.5,4.9
93,Yale (Ivy League),27,17-10,2019,74.8,1886,69.9,4.9
94,Georgia St. (Sun Belt),30,19-11,2229,74.3,2082,69.4,4.9
95,Colorado St. (Mountain West),31,21-10,2244,72.4,2095,67.6,4.8
96,Col. of Charleston (Colonial),34,25-9,2342,68.9,2179,64.1,4.8
97,Wake Forest (Atlantic Coast),32,19-13,2645,82.7,2493,77.9,4.8
98,Northern Ky. (Horizon),34,24-10,2589,76.1,2428,71.4,4.7
99,Kent St. (Mid-American),32,19-13,2486,77.7,2335,73,4.7
99,Saint Peter's (Metro Atlantic),32,19-13,2129,66.5,1978,61.8,4.7
101,St. Bonaventure (Atlantic 10),30,19-11,2323,77.4,2182,72.7,4.7
102,San Francisco (West Coast),32,20-12,2286,71.4,2137,66.8,4.7
103,Wright St. (Horizon),32,20-12,2465,77,2317,72.4,4.6
104,Portland St. (Big Sky),30,15-15,2573,85.8,2440,81.3,4.4
105,TCU (Big 12),32,18-14,2364,73.9,2224,69.5,4.4
106,Memphis (AAC),31,19-12,2313,74.6,2178,70.3,4.4
107,UMBC (America East),30,18-12,2443,81.4,2315,77.2,4.3
108,Arkansas St. (Sun Belt),32,20-12,2346,73.3,2211,69.1,4.2
109,South Dakota (Summit League),33,22-11,2564,77.7,2426,73.5,4.2
110,Fresno St. (Mountain West),30,19-11,2230,74.3,2106,70.2,4.1
111,Providence (Big East),31,20-11,2190,70.6,2062,66.5,4.1
112,Colorado (Pac-12),32,19-13,2416,75.5,2284,71.4,4.1
113,Iona (Metro Atlantic),34,22-12,2736,80.5,2596,76.4,4.1
114,William & Mary (Colonial),31,17-14,2534,81.7,2411,77.8,4
115,Ball St. (Mid-American),31,20-11,2461,79.4,2342,75.5,3.8
116,Missouri St. (Missouri Valley),33,17-16,2403,72.8,2277,69,3.8
117,Ga. Southern (Sun Belt),31,18-13,2373,76.5,2256,72.8,3.8
118,Alabama (Southeastern),30,17-13,2053,68.4,1942,64.7,3.7
119,Buffalo (Mid-American),31,17-14,2421,78.1,2307,74.4,3.7
120,Texas St. (Sun Belt),30,18-12,2030,67.7,1920,64,3.7
121,Toledo (Mid-American),32,17-15,2540,79.4,2427,75.8,3.5
122,New Orleans (Southland),29,18-11,2122,73.2,2020,69.7,3.5
123,Clemson (Atlantic Coast),32,17-15,2399,75,2287,71.5,3.5
124,Elon (Colonial),32,18-14,2403,75.1,2292,71.6,3.5
125,Wofford (Southern),33,16-17,2593,78.6,2479,75.1,3.5
126,Utah Valley (Western Athletic),29,14-15,2243,77.3,2143,73.9,3.4
127,Sam Houston St. (Southland),32,20-12,2400,75,2290,71.6,3.4
128,Old Dominion (Conference USA),30,19-11,1935,64.5,1832,61.1,3.4
129,Xavier (Big East),32,20-12,2403,75.1,2294,71.7,3.4
130,Tennessee St. (OVC),30,17-13,2134,71.1,2032,67.7,3.4
131,North Dakota St. (Summit League),30,19-11,2244,74.8,2144,71.5,3.3
132,Liberty (Big South),32,19-13,2124,66.4,2018,63.1,3.3
133,Texas A&M (Southeastern),30,16-14,2135,71.2,2036,67.9,3.3
134,Eastern Wash. (Big Sky),31,21-10,2453,79.1,2351,75.8,3.3
135,Seton Hall (Big East),30,20-10,2211,73.7,2115,70.5,3.2
136,George Mason (Atlantic 10),31,19-12,2319,74.8,2222,71.7,3.1
137,Iowa (Big Ten),31,18-13,2486,80.2,2390,77.1,3.1
137,Green Bay (Horizon),31,18-13,2483,80.1,2387,77,3.1
139,Samford (Southern),34,19-15,2698,79.4,2593,76.3,3.1
140,Ohio St. (Big Ten),32,17-15,2329,72.8,2232,69.8,3
141,Richmond (Atlantic 10),30,19-11,2223,74.1,2133,71.1,3
142,Eastern Ill. (OVC),29,14-15,2169,74.8,2083,71.8,3
143,Murray St. (OVC),33,16-17,2639,80,2543,77.1,2.9
144,Michigan St. (Big Ten),31,18-13,2231,72,2142,69.1,2.9
145,Vanderbilt (Southeastern),31,17-14,2223,71.7,2138,69,2.7
146,Davidson (Atlantic 10),29,15-14,2147,74,2068,71.3,2.7
147,A&M-Corpus Chris (Southland),29,19-10,2193,75.6,2115,72.9,2.7
148,Southeastern La. (Southland),32,16-16,2268,70.9,2182,68.2,2.7
149,Illinois (Big Ten),31,18-13,2242,72.3,2161,69.7,2.6
150,Mercer (Southern),32,15-17,2267,70.8,2184,68.3,2.6
151,Jacksonville (ASUN),32,17-15,2481,77.5,2399,75,2.6
